DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
36.42313,1.452145,84.9603,76.71355,9.831133,1.452145,35.04118,0
36.99165,1.486537,74.59042,32.77906,32.77791,1.486537,17.08159,0
18.31411,1.528023,67.72148,157.701,-18.24692,1.528023,0.3486443,0
21.77436,1.601399,58.97077,107.8253,-9.916448,1.601399,19.31896,0
13.20834,1.483829,75.14487,131.528,-9.330942,1.483829,9.229954,1
49.65839,1.465695,79.57525,77.40156,11.95974,1.465695,48.17439,0
44.85233,1.454756,83.56409,24.85962,41.57787,1.454756,16.75995,0
29.64831,1.515425,69.57076,110.1754,-8.244954,1.515425,28.43847,0
45.12605,1.490413,73.82915,125.1003,-29.12375,1.490413,34.43758,0
30.34482,1.449221,87.26562,76.27966,7.598508,1.449221,29.3423,0
30.64203,1.519236,68.99494,54.96288,19.74011,1.519236,23.38705,0
37.82373,1.477815,76.45532,121.3039,-17.1956,1.477815,33.65652,0
39.15714,1.455259,83.3287,134.9006,-29.51043,1.455259,25.69626,0
37.32232,1.48616,74.66647,66.55684,17.70015,1.48616,32.82455,0
51.47225,1.480747,75.80176,144.9305,-43.72714,1.480747,27.11341,1
22.66411,1.502905,71.58309,69.38074,9.887355,1.502905,20.33823,0
27.32626,1.511389,70.19802,40.22713,22.19592,1.511389,15.86761,0
29.16747,1.50391,71.4139,106.1604,-5.582475,1.50391,28.58873,0
37.28405,1.451927,85.09436,63.59725,14.1464,1.451927,34.46552,0
37.21953,1.490097,73.89003,20.76255,36.3803,1.490097,7.716652,0
21.0011,1.449994,86.50528,138.9093,-17.1684,1.449994,12.00789,0
54.05478,1.473842,77.39399,28.99729,48.43365,1.473842,23.95682,1
17.65821,1.635536,55.59453,139.2011,-16.39136,1.635536,6.360882,0
35.423,1.452626,84.67532,126.5371,-23.25776,1.452626,26.67874,0
20.11374,1.457789,82.25114,25.16408,17.63251,1.457789,9.567223,0
33.46471,1.449196,87.29341,84.89942,-0.2970387,1.449196,33.43199,0
42.97506,1.463047,80.38903,169.2951,-42.81548,1.463047,3.398537,0
41.7013,1.457805,82.24474,127.6597,-26.50698,1.457805,32.15981,0
13.34074,1.472208,77.80066,40.81953,11.55277,1.472208,6.50703,0
18.59035,1.627702,56.34273,36.05249,18.03775,1.627702,4.194183,0
16.8917,1.671137,52.35872,82.54169,6.000879,1.671137,15.70115,0
40.64809,1.451673,85.25574,107.522,-15.48456,1.451673,37.55514,0
43.11888,1.462428,80.58898,66.69057,19.4875,1.462428,38.43613,0
42.89166,1.469152,78.59927,57.18851,23.50105,1.469152,35.85019,1
30.61853,1.456419,82.81466,39.93605,25.17998,1.456419,17.35921,0
50.01145,1.469372,78.54018,36.37499,41.3363,1.469372,28.11222,0
41.23109,1.453346,84.27577,19.08104,39.51272,1.453346,11.68913,0
27.92964,1.484119,75.08462,143.7686,-24.23821,1.484119,13.7975,0
30.67182,1.451202,85.57096,43.79899,23.04091,1.451202,20.19334,0
48.25272,1.4855,74.80045,43.78425,37.41873,1.4855,30.42953,0
39.12363,1.511471,70.18495,69.14339,16.96228,1.511471,35.22293,0
42.00574,1.459168,81.72243,40.90797,31.19865,1.459168,28.0891,0
31.59324,1.494228,73.11255,18.69609,31.26039,1.494228,4.323002,0
24.52298,1.456952,82.59057,133.0519,-16.74204,1.456952,17.85939,1
30.18527,1.448053,89.42869,7.856054,29.89458,1.448053,3.920105,0
30.11227,1.462166,80.6753,9.789223,30.03254,1.462166,1.630318,1
26.91608,1.453794,84.04054,43.2795,19.02876,1.453794,18.98072,0
38.47886,1.458506,81.97212,26.48215,35.14621,1.458506,15.59612,0
46.51173,1.455964,83.01176,132.9681,-33.98087,1.455964,31.72573,0
51.873,1.479471,76.0825,91.10352,-1.731583,1.479471,51.82298,1
37.85203,1.500196,72.047,26.54783,35.91564,1.500196,11.85718,0
12.67579,1.466366,79.37907,91.04584,-1.098804,1.466366,12.54265,1
21.30476,1.452925,84.50603,153.2469,-19.09298,1.452925,9.340229,1
57.95376,1.466968,79.2058,31.04965,50.16903,1.466968,28.97507,0
23.17159,1.58927,60.25225,121.2388,-12.49043,1.58927,19.45214,0
37.31936,1.48425,75.0576,30.03469,34.04943,1.48425,15.20421,0
32.5021,1.449346,87.12911,128.2802,-20.25412,1.449346,25.37827,0
36.64956,1.490798,73.75561,123.0178,-21.47168,1.490798,29.66369,0
17.21996,1.452119,95.02425,5.42206,17.14915,1.452119,0.5699196,0
46.15752,1.479561,76.06254,85.84607,1.464869,1.479561,46.11053,0
28.39822,1.45271,84.62735,163.3853,-27.30039,1.45271,7.683548,0
57.40229,1.47209,77.83047,102.5292,-11.1272,1.47209,56.29424,0
25.04847,1.578638,61.41843,127.9095,-17.57709,1.578638,17.77582,0
40.37986,1.481447,75.64995,54.60106,24.96743,1.481447,31.70119,0
8.829633,1.860933,37.93753,124.4529,-8.055001,1.860933,3.101017,0
39.5822,1.482922,75.33531,84.90325,4.303635,1.482922,39.31959,0
22.19537,1.517358,69.2767,34.32656,18.82172,1.517358,11.66512,0
54.78357,1.469336,78.54959,74.15556,18.49185,1.469336,51.54738,0
